custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_0,130.80826,31.11051,641,FALSE,26.03380328,0.171485175
t_1,130.71842,31.11051,641,FALSE,26.03380328,0.171485175
t_2,130.89809,31.18739,641,FALSE,26.03380328,0.171485175
t_3,130.80826,31.18739,299,FALSE,214.6398942,0.397369453
t_4,130.71842,31.18739,600,FALSE,33.08965542,0.184442691
t_5,130.89809,31.26421,406,FALSE,110.0417572,0.283653691
t_6,130.71842,31.26421,600,FALSE,33.08965542,0.184442691
t_7,130.98792,31.26421,641,FALSE,26.03380328,0.171485175
t_8,130.80826,31.26421,331,FALSE,176.4530334,0.355249667
t_9,130.80826,31.34096,406,FALSE,110.0417572,0.283653691
t_10,131.16758,31.41766,600,FALSE,33.08965542,0.184442691
t_11,131.25741,31.41766,641,FALSE,26.03380328,0.171485175
t_12,130.98792,31.34096,641,FALSE,26.03380328,0.171485175
t_13,130.71842,31.34096,600,FALSE,33.08965542,0.184442691
t_14,130.89809,31.34096,161,FALSE,447.5257986,0.786071432
t_15,131.07775,31.34096,611,FALSE,31.00897873,0.180786799
t_16,130.80826,31.41766,776,FALSE,12.3629869,0.138917357
t_17,131.07775,31.41766,600,FALSE,33.08965542,0.184442691
t_18,130.71842,31.41766,600,FALSE,33.08965542,0.184442691
t_19,130.89809,31.41766,275,FALSE,247.5976163,0.435752111
t_20,130.98792,31.41766,246,FALSE,292.3637865,0.492689878
t_21,130.80826,31.49429,641,FALSE,26.03380328,0.171485175
t_22,131.16758,31.49429,641,FALSE,26.03380328,0.171485175
t_23,131.25741,31.49429,641,FALSE,26.03380328,0.171485175
t_24,131.34724,31.49429,641,FALSE,26.03380328,0.171485175
t_25,131.16758,31.57085,641,FALSE,26.03380328,0.171485175
t_26,131.34724,31.57085,341,FALSE,165.816793,0.343786488
t_27,130.71842,31.49429,313,FALSE,197.1375325,0.377828112
t_28,131.07775,31.49429,406,FALSE,110.0417572,0.283653691
t_29,130.98792,31.49429,279,FALSE,241.8442884,0.428872596
t_30,130.89809,31.49429,294,FALSE,221.1969847,0.404823178
t_31,130.80826,31.57085,776,FALSE,12.3629869,0.138917357
t_32,130.98792,31.57085,406,FALSE,110.0417572,0.283653691
t_33,130.71842,31.57085,411,FALSE,106.6045104,0.279853305
t_34,130.89809,31.57085,406,FALSE,110.0417572,0.283653691
t_35,131.07775,31.57085,346,FALSE,160.720353,0.33831579
t_36,130.98792,31.64736,345,FALSE,161.728001,0.339396599
t_37,131.25741,31.57085,641,FALSE,26.03380328,0.171485175
t_38,131.25741,31.64736,400,FALSE,114.3121407,0.288346058
t_39,131.34724,31.64736,641,FALSE,26.03380328,0.171485175
t_40,131.16758,31.64736,641,FALSE,26.03380328,0.171485175
t_41,131.16758,31.7238,641,FALSE,26.03380328,0.171485175
t_42,131.34724,31.7238,641,FALSE,26.03380328,0.171485175
t_43,131.25741,31.7238,641,FALSE,26.03380328,0.171485175
t_44,130.89809,31.64736,406,FALSE,110.0417572,0.283653691
