ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
,Augusta,,,,4700,,Shaking,Catenacci (1992),
,Avola,,,,148,,Shaking,Catenacci (1992),
,Buccheri,,,,-,,Shaking,Catenacci (1992),
,Buscemi,,,,5,,Shaking,Catenacci (1992),
,Canicattini Bagni,,,,10,,Shaking,Catenacci (1992),
,Carlentini,,,,1701,,Shaking,Catenacci (1992),
,Cassaro,,,,-,,Shaking,Catenacci (1992),
,Ferla,,,,-,,Shaking,Catenacci (1992),
,Floridia,,,,17,,Shaking,Catenacci (1992),
,Francofonte,,,,488,,Shaking,Catenacci (1992),
,Lentini,,,,2200,,Shaking,Catenacci (1992),
,Melilli,,,,1500,,Shaking,Catenacci (1992),
,Noto,,,,289,,Shaking,Catenacci (1992),
,Pachino,,,,69,,Shaking,Catenacci (1992),
,Priolo Gargallo,,,,79,,Shaking,Catenacci (1992),
,Rosolini,,,,10,,Shaking,Catenacci (1992),
,Siracusa,,,,573,,Shaking,Catenacci (1992),
,Solarino,,,,5,,Shaking,Catenacci (1992),
,Sortino,,,,42,,Shaking,Catenacci (1992),
,Aci Catena,,,,16,,Shaking,Catenacci (1992),
,Caltagirone,,,,65,,Shaking,Catenacci (1992),
,Catania,,,,355,,Shaking,Catenacci (1992),
,Grammichele,,,,8,,Shaking,Catenacci (1992),
,Licodia Eubea,,,,5,,Shaking,Catenacci (1992),
,Maletto,,,,-,,Shaking,Catenacci (1992),
,Militello,,,,328,,Shaking,Catenacci (1992),
,Mineo,,,,52,,Shaking,Catenacci (1992),
,Motta S. Anastasia,,,,-,,Shaking,Catenacci (1992),
,Palagonia,,,,120,,Shaking,Catenacci (1992),
,Ramacca,,,,22,,Shaking,Catenacci (1992),
,Scordia,,,,250,,Shaking,Catenacci (1992),
,S.Giovanni La Punta,,,,3,,Shaking,Catenacci (1992),
,Santa Venerina,,,,-,,Shaking,Catenacci (1992),
,Tremestieri Etneo,,,,5,,Shaking,Catenacci (1992),
,Vizzini,,,,81,,Shaking,Catenacci (1992),
